Age BP RP G
5.0 -4.511843 -3.93529 -4.282602
5.0 -4.54752 -3.970956 -4.318197
5.0 -4.583694 -4.007157 -4.354298
5.0 -4.621488 -4.045022 -4.392026
5.0 -4.659558 -4.083196 -4.43004
5.0 -4.697541 -4.121315 -4.467974
5.0 -4.738089 -4.162038 -4.508479
5.0 -4.778455 -4.202604 -4.548808
5.0 -4.818202 -4.242569 -4.588526
5.0 -4.861128 -4.285748 -4.631423
5.0 -4.959174 -4.384398 -4.729423
5.0 -5.073956 -4.4999 -4.844159
5.0 -5.212384 -4.639099 -4.98252
5.0 -5.281126 -4.708154 -5.051216
5.0 -5.349011 -4.77629 -5.119042
5.0 -5.436093 -4.863579 -5.206026
5.0 -5.530341 -4.957883 -5.30013
5.0 -5.640407 -5.06775 -5.40997
5.0 -6.381565 -5.804243 -6.149223
5.0 -6.416854 -5.838924 -6.184301
5.0 -6.481386 -5.901866 -6.248289
5.0 -6.522956 -5.94242 -6.289518
5.0 -6.598656 -6.016722 -6.364754
5.0 -6.626873 -6.044641 -6.392872
5.0 -6.65662 -6.074073 -6.422516
5.0 -6.685614 -6.10276 -6.451409
5.0 -6.713884 -6.13073 -6.479581
5.0 -6.743267 -6.159799 -6.508861
5.0 -6.775403 -6.191592 -6.540884
5.0 -6.840592 -6.256225 -6.605892
5.0 -6.924387 -6.339344 -6.689465
5.0 -7.146516 -6.560302 -6.911211
5.0 -7.214151 -6.62753 -6.978714
5.0 -7.438248 -6.850475 -7.202432
5.05 7.58207 5.845653 6.703647
5.05 7.57646 5.840888 6.698581
5.05 7.502462 5.777998 6.631737
5.05 7.429301 5.715895 6.565683
5.05 7.357193 5.654757 6.50061
5.05 7.286046 5.594482 6.436421
5.05 7.215728 5.534935 6.372983
5.05 7.146294 5.47616 6.31034
5.05 7.077726 5.418129 6.248472
5.05 7.010025 5.360836 6.187375
5.05 6.943094 5.304186 6.126952
5.05 6.877186 5.248396 6.067435
5.05 6.812323 5.193497 6.00885
5.05 6.748385 5.139395 5.951096
5.05 6.68587 5.086509 5.89462
5.05 6.602066 5.019198 5.821124
5.05 6.517935 4.951498 5.747217
5.05 6.433922 4.883671 5.673227
5.05 6.35004 4.81575 5.599178
5.05 6.266005 4.747695 5.524935
5.05 6.181847 4.679511 5.450516
5.05 6.097955 4.611468 5.376244
5.05 6.01428 4.543503 5.302066
5.05 5.911331 4.461068 5.211463
5.05 5.801178 4.37291 5.114487
5.05 5.690617 4.283932 5.016797
5.05 5.579688 4.194042 4.918365
5.05 5.468161 4.102896 4.818897
5.05 5.355684 4.010673 4.718348
5.05 5.24165 3.916967 4.616216
5.05 5.126305 3.821551 4.512431
5.05 5.010094 3.724863 4.407441
5.05 4.901331 3.634305 4.309096
5.05 4.823451 3.570414 4.239195
5.05 4.661975 3.437539 4.094098
5.05 4.59654 3.383199 4.035044
5.05 4.550868 3.345251 3.993802
5.05 4.453129 3.263347 3.905145
5.05 4.349798 3.176377 3.811177
5.05 4.209592 3.058208 3.683351
5.05 4.112415 2.976319 3.594608
5.05 3.984251 2.868351 3.477282
5.05 3.84817 2.753881 3.352787
5.05 3.736131 2.659183 3.250193
5.05 3.647033 2.583499 3.168473
5.05 3.559275 2.509023 3.088063
5.05 3.481254 2.442671 3.016517
5.05 3.41125 2.383047 2.952277
5.05 3.341962 2.324125 2.888736
5.05 3.271772 2.263425 2.823786
5.05 3.200234 2.199848 2.7566
5.05 3.129143 2.136863 2.689898
5.05 3.070541 2.084722 2.634769
5.05 3.01317 2.033791 2.580838
5.05 2.955661 1.982819 2.526804
5.05 2.897223 1.931072 2.471905
5.05 2.836284 1.877082 2.414627
5.05 2.76794 1.816179 2.350186
5.05 2.701159 1.75687 2.287311
5.05 2.635413 1.698687 2.225507
5.05 2.570927 1.641878 2.165014
5.05 2.494135 1.574059 2.092878
5.05 2.430795 1.517782 2.033198
5.05 2.391708 1.482813 1.99624
5.05 2.352393 1.44771 1.959099
5.05 2.305153 1.405578 1.914489
5.05 2.231828 1.33975 1.845011
5.05 2.17032 1.284256 1.786579
5.05 2.111608 1.231158 1.730729
5.05 1.991796 1.122212 1.616431
5.05 1.898487 1.036979 1.527198
5.05 1.843758 0.986762 1.474739
5.05 1.732402 0.884241 1.367808
5.05 1.667574 0.824364 1.30545
5.05 1.630719 0.790222 1.269945
5.05 1.623377 0.783416 1.262869
5.05 1.581286 0.744401 1.222306
5.05 1.547523 0.713049 1.189737
5.05 1.460921 0.632309 1.106031
5.05 1.381288 0.558049 1.029042
5.05 1.266948 0.450901 0.918223
5.05 1.161689 0.351884 0.816001
5.05 1.083962 0.278561 0.740406
5.05 1.016169 0.214537 0.674431
5.05 0.94147 0.143774 0.601622
5.05 0.87523 0.080991 0.537035
5.05 0.65937 -0.124192 0.326239
5.05 0.564948 -0.214155 0.233908
5.05 0.360993 -0.408427 0.034433
5.05 0.248669 -0.51539 -0.075464
5.05 0.119549 -0.638409 -0.201846
5.05 -0.129618 -0.875914 -0.445773
5.05 -1.079199 -1.723054 -1.350037
5.05 -1.21829 -1.817997 -1.47034
5.05 -1.331391 -1.884864 -1.563961
5.05 -1.422475 -1.931132 -1.63658
5.05 -1.507903 -1.971928 -1.704015
5.05 -1.589918 -2.009314 -1.768615
5.05 -1.669066 -2.043552 -1.830608
5.05 -1.744267 -2.073791 -1.888782
5.05 -1.816109 -2.100121 -1.94373
5.05 -1.88337 -2.122027 -1.994346
5.05 -1.941901 -2.139899 -2.038895
5.05 -1.995761 -2.154387 -2.077811
5.05 -2.040288 -2.166616 -2.111266
5.05 -2.078538 -2.175824 -2.139238
5.05 -2.110319 -2.182209 -2.161904
5.05 -2.134833 -2.185873 -2.178764
5.05 -2.154273 -2.187414 -2.191439
5.05 -2.169756 -2.186964 -2.200696
5.05 -2.181611 -2.18447 -2.206765
5.05 -2.190535 -2.179698 -2.210032
5.05 -2.196996 -2.172403 -2.210716
5.05 -2.201157 -2.163344 -2.209276
5.05 -2.203031 -2.152559 -2.205736
5.05 -2.203154 -2.140293 -2.200531
5.05 -2.202094 -2.126894 -2.194165
5.05 -2.199807 -2.112424 -2.18663
5.05 -2.196129 -2.096831 -2.177801
5.05 -2.191474 -2.080559 -2.168121
5.05 -2.186104 -2.063615 -2.157758
5.05 -2.179841 -2.045895 -2.14655
5.05 -2.172939 -2.02803 -2.134923
5.05 -2.165603 -2.010113 -2.123039
5.05 -2.157789 -1.991823 -2.110724
5.05 -2.149563 -1.973253 -2.098036
5.05 -2.140902 -1.953955 -2.084796
5.05 -2.131898 -1.934361 -2.071248
5.05 -2.122554 -1.914488 -2.057394
5.05 -2.11303 -1.894504 -2.043391
5.05 -2.103333 -1.874416 -2.02925
5.05 -2.09347 -1.854227 -2.014974
5.05 -2.083578 -1.834085 -2.000699
5.05 -2.073621 -1.813948 -1.98639
5.05 -2.063678 -1.793903 -1.972123
5.05 -2.053836 -1.774049 -1.957987
5.05 -2.044066 -1.75435 -1.94395
5.05 -2.034428 -1.734878 -1.930078
5.05 -2.024916 -1.715625 -1.916361
5.05 -2.015567 -1.69662 -1.902838
5.05 -2.006379 -1.677854 -1.889504
5.05 -1.997409 -1.659384 -1.876419
5.05 -1.988627 -1.6412 -1.863566
5.05 -1.980008 -1.623322 -1.8509
5.05 -1.971412 -1.60551 -1.838277
5.05 -1.963068 -1.587622 -1.825762
5.05 -1.955143 -1.570285 -1.813727
5.05 -1.94856 -1.555176 -1.803424
5.05 -1.942567 -1.54068 -1.793726
5.05 -1.936304 -1.523942 -1.782907
5.05 -1.931899 -1.510152 -1.77443
5.05 -1.929473 -1.500379 -1.768825
5.05 -1.928037 -1.490507 -1.763765
5.05 -1.928266 -1.477676 -1.758431
5.05 -1.930084 -1.47082 -1.756573
5.05 -1.932881 -1.465144 -1.755781
5.05 -1.936653 -1.46067 -1.756048
5.05 -1.941463 -1.457538 -1.757454
5.05 -1.947354 -1.455869 -1.760057
5.05 -1.954445 -1.455838 -1.763981
5.05 -1.964504 -1.458827 -1.770835
5.05 -1.977109 -1.464369 -1.780181
5.05 -1.992977 -1.4727 -1.792516
5.05 -2.002002 -1.475479 -1.798589
5.05 -1.999022 -1.469173 -1.794037
5.05 -1.99022 -1.463799 -1.786894
5.05 -1.980044 -1.458896 -1.779227
5.05 -1.988616 -1.468448 -1.788261
5.05 -1.99941 -1.476407 -1.797735
5.05 -2.00521 -1.481372 -1.803155
5.05 -2.023385 -1.498677 -1.820923
5.05 -2.061238 -1.535051 -1.858066
5.05 -2.117512 -1.589114 -1.913261
5.05 -2.161558 -1.631387 -1.956431
5.05 -2.208179 -1.676136 -2.002118
5.05 -2.255663 -1.721755 -2.048658
5.05 -2.3035 -1.767773 -2.095561
5.05 -2.371809 -1.833617 -2.162576
5.05 -2.44105 -1.900609 -2.230593
5.05 -2.504544 -1.962327 -2.293062
5.05 -2.551957 -2.00867 -2.339792
5.05 -2.597673 -2.053559 -2.384917
5.05 -2.644222 -2.099447 -2.430922
5.05 -2.689205 -2.143954 -2.475435
5.05 -2.734037 -2.188443 -2.519846
5.05 -2.778628 -2.232799 -2.564055
5.05 -2.822682 -2.276701 -2.607765
5.05 -2.869758 -2.323673 -2.654497
5.05 -2.915334 -2.369174 -2.699757
5.05 -2.974528 -2.428254 -2.75855
5.05 -3.037173 -2.490677 -2.820759
5.05 -3.074134 -2.527424 -2.857451
5.05 -3.110057 -2.563055 -2.893094
5.05 -3.145818 -2.598426 -2.928555
5.05 -3.191695 -2.643658 -2.974013
5.05 -3.23546 -2.68677 -3.017381
5.05 -3.285758 -2.736298 -3.067239
5.05 -3.339716 -2.789382 -3.120728
5.05 -3.39166 -2.84043 -3.172221
5.05 -3.442528 -2.890364 -3.222645
5.05 -3.492573 -2.939429 -3.272245
5.05 -3.544559 -2.99033 -3.323759
5.05 -3.594742 -3.039398 -3.373475
5.05 -3.649957 -3.093335 -3.42817
5.05 -3.708974 -3.150932 -3.486624
5.05 -3.769047 -3.209387 -3.54608
5.05 -3.827678 -3.266148 -3.604043
5.05 -3.886046 -3.322453 -3.661703
5.05 -3.94451 -3.378756 -3.71944
5.05 -4.007994 -3.439947 -3.782158
5.05 -4.075075 -3.50479 -3.848487
5.05 -4.128143 -3.556357 -3.901039
5.05 -4.197294 -3.623842 -3.969594
5.05 -4.305643 -3.730346 -4.077209
5.05 -4.380372 -3.804336 -4.151571
5.05 -4.427032 -3.850714 -4.198048
5.05 -4.466938 -3.890471 -4.237824
5.05 -4.502325 -3.925786 -4.273113
5.05 -4.538504 -3.961939 -4.309205
5.05 -4.57509 -3.998542 -4.345715
5.05 -4.613409 -4.03692 -4.383964
5.05 -4.652123 -4.075732 -4.422618
5.05 -4.690775 -4.114515 -4.461219
5.05 -4.731832 -4.155743 -4.50223
5.05 -4.772893 -4.197001 -4.543253
5.05 -4.813384 -4.23771 -4.583712
5.05 -4.856974 -4.281556 -4.627274
5.05 -4.94733 -4.372464 -4.717585
5.05 -5.069243 -4.495143 -4.839448
5.05 -5.200031 -4.626669 -4.970175
5.05 -5.275692 -4.702685 -5.045788
5.05 -5.343801 -4.771053 -5.11384
5.05 -5.428811 -4.85628 -5.198757
5.05 -5.526056 -4.953601 -5.295858
5.05 -5.632351 -5.059729 -5.401941
5.05 -6.371145 -5.794056 -6.138886
5.05 -6.412019 -5.834247 -6.17952
5.05 -6.470078 -5.890952 -6.237114
5.05 -6.51656 -5.936262 -6.283202
5.05 -6.595294 -6.013459 -6.361425
5.05 -6.623186 -6.04106 -6.389221
5.05 -6.65113 -6.068709 -6.417068
5.05 -6.681451 -6.098709 -6.447283
5.05 -6.713009 -6.129932 -6.478731
5.05 -6.743646 -6.160244 -6.509262
5.05 -6.773404 -6.189685 -6.538916
5.05 -6.832024 -6.247789 -6.597366
5.05 -6.912929 -6.328041 -6.678058
5.05 -7.144326 -6.558172 -6.909041
